Account Number,Account Name,Country,CDP Region,Parent Section,Question Number,Question Name,Column Number,Column Name,Row Number,Row Name,Response Answer,Comments,File Name
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
36043,Abuja Federal Capital Territory,Nigeria,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
36039,Accra Metropolitan Assembly,Ghana,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
31146,Addis Ababa City Administration,Ethiopia,Africa,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,Sin información disponible,
826209,Aipromades Lago de Chapala,Mexico,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,Sin información disponible,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,0,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,25,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,1,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,57,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,10,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,0,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,6,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,0,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,1,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,0,,
1499,Ajuntament de Barcelona,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
35887,Ajuntament de Valencia,Spain,Europe,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,0.5,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,1.5,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,98,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
69973,Alcaldia de Barrancabermeja,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,99.9,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,0.1,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
826243,Alcaldia de Cartago,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,12,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,32,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,11,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
54637,Alcaldía de Cuenca,Ecuador,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,100,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
60374,Alcaldía de Ibagué,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
60371,Alcaldía de Leticia,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
54608,Alcaldia de Montería,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,0,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,0,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,0,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,0,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,95,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,0.4,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,4.6,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,0,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,0,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,0,,
70017,Alcaldia de Palmira,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,4,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,0,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,36,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,0,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,58,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,0,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,2,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,0,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,0,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,0,,
57505,Alcaldía de Panamá,Panama,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
69968,Alcaldia de Rionegro,Colombia,Latin America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
