Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2019,54518,City of Helsingborg,Helsingborg,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,"Sweden report national emissions of greenhouse gases to UNFCCC and CLRTAP every year according to established rules. These emissions are taken down at municipal level, mainly by the use of a “top down” concept. The allocation of emissions to municipal level is carried out by a national network, SMED (www.smed.se). Short summary of the methodology: 1. The area within a municipality where a certain emission happens is mapped (for example pasture). 2. Statistics for activities related to the emissions are developed (for example the number of grazing animals). 3. Information in 1 and 2 are combined, and “multiplication” with  total emission at national level give the emission raster.",,"CH4, CO2, HFCs, N20, PFCs, SF6",73763,542765,13780,,,,,,,,,Decreased,Technological change,,145415,2018,,2020-05-01T03:57:57.217
2019,63562,"City of South Bend, IN",South Bend,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,3723299.07,,393977,,81378.88,,,,,,This is our first year of calculation,Other: First year of calculation,,102245,2017,POINT (41.6754 -86.2532),2020-05-01T03:57:57.217
2019,73732,Monte Buey,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,42140.43,0,6327.84,0,970.59,,,,,,This is our first year of calculation,Other,,6285,2010,,2020-05-01T03:57:57.217
2019,46470,Ayuntamiento de Vitoria-Gasteiz,Vitoria-Gasteiz,Spain,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,527184,,204695,,1664,,,,,,Decreased,Policy change,,251604,2018,POINT (-2.67 42.84),2020-05-01T03:57:57.217
2019,35858,City of Cape Town,Cape Town,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,9499498.21,11662205.03,1232606.95,21145125.41,22377732.36,Decreased,Other: Decline in electricity-related emissions and total liquid fuels sales.,,4223565,2017,POINT (18.4239 -33.9253),2020-05-01T03:57:57.217
2019,73686,Los Molles,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,2926.91,,911.22,,758.23,,,,,,,,,732,2010,,2020-05-01T03:57:57.217
2019,74309,Nakhon Sawan,,Thailand,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,CO2,,176321.3,,179300.64,,17043.52,,,,,,This is our first year of calculation,,,83045,2018,,2020-05-01T03:57:57.217
2019,839666,Municipio de Escuintla,,Guatemala,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2019-01-01 - 2020-01-01,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Es el protocolo que se adapta a la elaboración del inventario de ciudades GEI de Guatemala,No,"CH4, CO2, N20",,,,,,,116127,834,164628,281588,0,Do not know,,,170543,2019,,2020-05-01T03:57:57.217
2019,73690,Villa General Belgrano,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,48040.76,,8775.93,,6084.39,,,,,,Do not know,Other: Primer inventario realizado,,8257,2010,,2020-05-01T03:57:57.217
2019,43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-07-01 - 2015-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),NA,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,621179,0,0,773061,1084979,Decreased,Technological change,,213847,2019,POINT (174.776 -41.2865),2020-05-01T03:57:57.217
2019,20113,City of Vancouver,Vancouver,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The City has compiled a GPC-compliant inventory for 2018 as a Global Covenant of Mayors signatory.,No,"CH4, CO2, N20",,,,,,,2399259,58217,98392,2551251,2551251,Decreased,Change in weather conditions,,642686,2018,POINT (-123.114 49.2612),2020-05-01T03:57:57.217
2019,49360,City of Tshwane,Pretoria - Tshwane,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-07-01 - 2015-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,9138309,119473513,340698,21426358,,Do not know,Change in methodology,,3306198,2017,POINT (28.1881 -25.7461),2020-05-01T03:57:57.217
2019,55799,"Arlington, VA",Arlington,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"This report documents the greenhouse gas inventory results for Arlington County, Virginia, for calendar year2016. This inventory updates results and methodologies previously reported for 2007 and 2012 as new data andmethodology refinements have emerged.",No,"CH4, CO2, N20",,,,,,,1067210,1151808,40983,2260001,,Decreased,Increased energy/electricity consumption,,220400,2016,POINT (-76.0026 37.2265),2020-05-01T03:57:57.217
2019,834374,Tagum City,,Philippines,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,Lack of resource / funding overcome,,259444,2015,,2020-05-01T03:57:57.217
2019,73648,Arias,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,90391.06,0,4825.65,0,740.18,,,,,,This is our first year of calculation,Other,,7249,2010,,2020-05-01T03:57:57.217
2019,50371,Municipalidad de Córdoba,Córdoba,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),presentado y aceptado por Compact of Mayors,No,CO2,,,,,,,3451661,1362933,0,4814594,0,Decreased,Improved data accuracy,,1430000,2017,POINT (-64.1888 -31.4201),2020-05-01T03:57:57.217
2019,50394,Prefeitura Municipal de João Pessoa,João Pessoa,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),O inventário adotou a metodologia GPC com orientação e supervisão do ICLEI América do Sul,No,"CH4, CO2, N20",,,,,,,2309846,194421,333232,1550999,0,This is our first year of calculation,,,723515,2010,POINT (-34.8639 -7.16882),2020-05-01T03:57:57.217
2019,31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-07-01 - 2018-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,0,2896137.46,1368268.15,3677319,4150582.53,Decreased,Behavioural change,,240229,2018,POINT (151.207 -33.8675),2020-05-01T03:57:57.217
2019,60417,Municipalidad de San Carlos de Bariloche,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",5134.72,811350.2,0,88705.46,0,13606.06,,,,,,Do not know,,,112887,2010,,2020-05-01T03:57:57.217
2019,54529,City of Leicester,Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,1019212.92,468460.17,356716.22,1486785.92,1674770.08,Decreased,Technological change,,353540,2017,POINT (-1.1333 52.6333),2020-05-01T03:57:57.217
2019,54538,Bath and North East Somerset,Bath,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,-,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",0,536875.86,0,230002.18,0,186449.37,,,,,,,,,188600,2017,,2020-05-01T03:57:57.217
2019,58543,Byron Shire Council,Byron Shire,Australia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-07-01 - 2018-06-30,Smaller – covers only part of the city,Regional or country specific methodology,Australian National Greenhouse and Energy Reporting Methodology,,"CH4, CO2",,36,,,,,,,,,,Decreased,Change in data collection methods,,34574,2018,POINT (153.533 -28.6534),2020-05-01T03:57:57.217
2019,54057,City of Lancaster,"Lancaster, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Other,2012 U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emission,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,777350,,,,,,,,,,Do not know,Lack of documentation,,161148,2017,POINT (-76.3055 40.0379),2020-05-01T03:57:57.217
2019,74401,"City of Encinitas, CA",Encinitas,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2012-01-01 - 2012-12-30,Same – covers entire city and nothing else,Regional or country specific methodology,The California Adaptation Planning Guide (APG),,"CH4, CO2, HFCs, N20, PFCs",,,,,,,435710,0,48063,,,Decreased,Other,,63184,2017,POINT (-117.293 33.0454),2020-05-01T03:57:57.217
2019,3203,City of Chicago,Chicago,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,16784486,14766295,1100599,32651379,45374422,Decreased,Policy change,,2705994,2018,POINT (-87.6298 41.8781),2020-05-01T03:57:57.217
2019,35393,City of St Louis,St Louis,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CO2, HFCs, N20, PFCs, SF6",63901,2619715.62,,3850597.69,,133040.38,,,,,,Decreased,Behavioural change,,302838,2018,POINT (-90.1994 38.627),2020-05-01T03:57:57.217
2019,54608,Alcaldia de Montería,Montería,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2012-01-01 - 2012-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,827954,75784,39631,903738,943369,Decreased,Technological change,,357746,2018,POINT (-75.8814 8.74798),2020-05-01T03:57:57.217
2019,50382,Municipio de Mérida,Mérida,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Los datos de actividad obtenidos para el municipio de Mérida permitieron realizar una estimación de Nivel 1, que es el nivel básico de acuerdo a la metodología del GPC ( 2006); ya que, aunque se contó con datos del 2014 de los consumos energéticos a nivel sectorial, no se obtuvieron datos sobre las tecnologías empleadas o factores de emisión propios.",No,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,,,,3262192,,Do not know,Change in staff,,892363,2015,POINT (-89.5926 20.9674),2020-05-01T03:57:57.217
2019,73701,San Carlos Sud,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,21430.53,0,3266.39,0,501.01,,,,,,This is our first year of calculation,Other,,2102,2010,,2020-05-01T03:57:57.217
2019,73652,Caseros,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas",Yes,"CH4, CO2, N20",0,19010.08,0,1928.11,0,295.74,,,,,,This is our first year of calculation,Other,,2339,2010,,2020-05-01T03:57:57.217
2019,36254,Comune di Venezia,Venezia,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,8735271,618544,15396,3103390,3662037,Decreased,Behavioural change,,260520,2018,POINT (12.3211 45.4333),2020-05-01T03:57:57.217
2019,73802,Crespo,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climático, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,103588.4,,26986.92,,4807.31,,,,,,This is our first year of calculation,Other,,20274,2010,,2020-05-01T03:57:57.217
2019,54361,Petaling Jaya City Council,Petaling Jaya,Malaysia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,CO2,,,,,,,3496,,,,3496,Do not know,Other,,658611,2010,POINT (101.595 3.1279),2020-05-01T03:57:57.217
2019,54066,City of Fort Collins,Fort Collins,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Some calculations are still applied from the ICLEI Community Protocol, however these calculations align with the methods required by GPC.",Yes,"CH4, CO2, N20",,950705.52,,1094436.67,,72526.06,,,,,,Decreased,Change in data collection methods,,170100,2018,POINT (-105.084 40.5853),2020-05-01T03:57:57.217
2019,59595,"City of Brisbane, CA","Brisbane, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Regional or country specific methodology,,,"CH4, CO2, N20",,,,,,,47450,14030,1053,,,Decreased,Change in data collection methods,,4603,2015,POINT (-122.4 37.6808),2020-05-01T03:57:57.217
2019,44185,Suwon City,Suwon,Republic of Korea,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,3549896,2170292,16678,5736865,,Increased,Population increase,,1242212,2018,POINT (126.805 37.17),2020-05-01T03:57:57.217
2019,73680,Carcarana,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",0,85990.84,0,18056.93,0,2769.66,,,,,,,,,16432,2010,,2020-05-01T03:57:57.217
2019,50383,Prefeitura de Sorocaba,Sorocaba,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Basic (energia, transporte, resíduos)",Yes,"CH4, CO2, N20",,1068820,,188910,,265830,,,,,,Increased,Change in accounting methodology,,671186,2018,POINT (-47.4221 -23.4775),2020-05-01T03:57:57.217
2019,60906,Municipalidad de Vitacura,,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2018-01-01 - 2018-12-31,Smaller – covers only part of the city,Regional or country specific methodology,Metodología Huella Chile,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,561.54,,3975,,19941,,,,,,Decreased,Technological change,,85,217,,2020-05-01T03:57:57.217
2019,59158,Moroni City,Moroni,Comoros,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,33277,13340,6643,49285,53260,This is our first year of calculation,Lack of resource / funding overcome,,55541,2016,POINT (43.2473 -11.7172),2020-05-01T03:57:57.217
2019,57616,"City of Lake Forest, IL",Lake Forest,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2007-01-01 - 2007-12-31,Same – covers entire city and nothing else,Other: Local Government Operations Protocol (LGOP),"The Local Government Operations Protocol (LGOP) is a tool for accounting and reporting GHG emissions across a local government’soperations. Reductions in emissions are calculated by comparing changes in a local government’semissions over time. By tracking emissions over time, local governments should be able to measure theGHG reduction benefits from policies and programs put in place to reduce emissions within theiroperations. https://s3.amazonaws.com/icleiusaresources/lgo_protocol_v1_1_2010-05-03.pdf",,"CH4, CO2, N20",,,,,,,120709.2,210436.37,71218.43,,,Do not know,Lack of documentation,,19544,2018,POINT (-87.8406 42.2586),2020-05-01T03:57:57.217
