Questionnaire Name	Account Number	Account Name	Country	CDP Region	Coal	Gas	Oil	Nuclear	Hydro	Biomass	Wind	Geothermal	Solar	Other sources	Total - please ensure this equals 100%	Year data applies to
Cities 2020	31163	Istanbul Metropolitan Municipality	Turkey	Europe	28.4	37.8	1.6	0	25.8	0.7	4.4	1.3	0	0	100	
Cities 2020	31165	Stadt Heidelberg	Germany	Europe	28.3	15.1	0.8	12.4	3.3	7.4	20.9	0	7.5	4.3	100	2019
Cities 2020	31166	Jakarta City Government	Indonesia	Southeast Asia and Oceania	0	99.94	0.06	0	0	0	0	0	0	0	100	2019
Cities 2020	31167	City of Lagos	Nigeria	Africa		99							1			2020
Cities 2020	31169	Government of Hong Kong Special Administrative Region	"China, Hong Kong Special Administrative Region"	East Asia	44	29.1	0.3	26.6	0	0	0	0	0	0	100	2020
Cities 2020	31170	Metropolitan Municipality of Lima	Peru	Latin America	0	40	0	0	54	0	2	0	4	0	100	2019
Cities 2020	31171	Ayuntamiento de Madrid	Spain	Europe	14.11	21.13	5.28	20.32	13.41	2.56	18.54		4.64			
Cities 2020	31172	Mexico City	Mexico	Latin America	31	48	21	0	0	0	0	0	0	0	100	2018
Cities 2020	31173	Comune di Milano	Italy	Europe	10.4	44.9	3.7	0	11.6	6.2	5.7	2	7.8	7.7	100	
Cities 2020	31174	Moscow Government	Russian Federation	Europe	0	99.25	0	0	0.12	0.2			0.02	0.38		2018
Cities 2020	31175	City of Paris	France	Europe	1.1	5.7	0.3	71.7	12.4	1.7	5.1	0	2	0	100	2018
Cities 2020	31176	Prefeitura do Rio de Janeiro	Brazil	Latin America	2.2	7.5	0.8	2.6	71.1	4.8	9.6	0	0.9	0.5	100	2019
Cities 2020	31177	Salt Lake City	United States of America	North America	58.89	10.57	0	0	7.09	0.37	8.56	0.39	3.54	10.59	100	
Cities 2020	31179	Gemeente Rotterdam	Netherlands	Europe	86.6	8.2	0.5	0	0	3	1.5	0	0.1	0.1	100	2018
Cities 2020	31180	Región Metropolitana de Santiago	Chile	Latin America	18.79	15.32	15.57	0	28.4	1.9	8.16	0.16	11.7	0	100	2020
Cities 2020	31181	City of Philadelphia	United States of America	North America	17.6	38	0.2	39.7	0.9	1.9	1	0	0.4	0.3	100	2016
Cities 2020	31182	City of San Francisco	United States of America	North America	0	8	0	18	37	2	14	4	10	7	100	2018
Cities 2020	31184	Prefeitura de São Paulo	Brazil	Latin America	3.2	8.6	2.4	2.5	66.6	8.5	7.6	0	0.5	0.1	100	
Cities 2020	31185	City of Warsaw	Poland	Europe	85	3.58	0	0	0.68	1.45	8.86	0	0.04	0.39	100	
Cities 2020	31186	Changwon City	Republic of Korea	East Asia	78.9	0.5	0	0	15.7	0.48	0	2.18	2.24	0	100	
Cities 2020	31187	Seoul Metropolitan Government	Republic of Korea	East Asia	40.7	24.9	0.7	26.3	0.6	0.2	0	0	1.3	5.3	100	2019
Cities 2020	31446	Taipei City Government	"Taiwan, Greater China"	East Asia	37.3	38.2	1.9	13.4	3.7	1.2	0.8	0	1.7	1.8	100	2019
Cities 2020	32480	City of Adelaide	Australia	Southeast Asia and Oceania	0	47.4	1	0	0	0	39.5	0	11.6	0.3	99.8	2019
Cities 2020	32550	City of Denver	United States of America	North America	39	33	0	0	1	0	24	0	3	0	100	2018
Cities 2020	35268	City of Boston	United States of America	North America	1	49	1	30	8		3			8		2018
Cities 2020	35274	"City of Portland, ME"	United States of America	North America	0.05	48.5	0.02	30.5	9	2.5	3.6	0	1.7	4.13	100	2020
Cities 2020	35393	City of St Louis	United States of America	North America		13	5							82		
Cities 2020	35449	Stadt Zürich	Switzerland	Europe	0	0	0	6.37	75.92	2.51	2.43	0	1.26	11.51	100	2018
Cities 2020	35475	City of Calgary	Canada	North America	42.05	47.91			2.26	2.4	4.95		0.026	0.4		
Cities 2020	35755	Village of Kadiovacik	Turkey	Europe	23	28	0	0	32	0	10	2	3	2	100	2020
Cities 2020	35848	Municipality of Belo Horizonte	Brazil	Latin America	3.3	9.3	2	2.5	64.9	8.4	8.6	0	1	0	100	2019
Cities 2020	35853	City of Baltimore	United States of America	North America	31.13	28.68	0.21	34.53	1.5	0.99	2.63	0	0.26	0.07	100	
Cities 2020	35854	City of Brussels	Belgium	Europe	37.3			46.5	1.2	37.3	10.2		4.2	0.5		2019
Cities 2020	35857	City of Cincinnati	United States of America	North America	64.5	10.8	0.6	19.8	0.6	0.6	2.3	0	0.1	0.7	100	
Cities 2020	35858	City of Cape Town	South Africa	Africa	89.6	0.015	0.401	4.699	0.54	0.015	2.874	0	1.794	0.062	100	2018
Cities 2020	35859	City of Cleveland	United States of America	North America	34.85	25.34	0.03	30.47	5.74	0.38	2.28	0	0.02	0.89	100	2018
Cities 2020	35860	City of Dallas	United States of America	North America	20	47	0.1	11	0.1	0.1	20	0	1.2	0.5	100	2019
Cities 2020	35862	City of Detroit	United States of America	North America	60.8	7.89	0.21	22.87	0.14	1.2	6.36	0	0.06	0.47	100	
Cities 2020	35863	eThekwini Municipality	South Africa	Africa	88	2	0	5	0	0	3	0	2	0	100	
Cities 2020	35864	Ekurhuleni Metropolitan Municipality	South Africa	Africa			0	0	0	0	0	0		0		2020
Cities 2020	35865	Municipality of Fortaleza	Brazil	Latin America	2.2	7.7	5.8	1.18	60.76	8.71	7.81	0	0.77	5.07	100	2019
Cities 2020	35867	Region Metropolitana de Guadalajara	Mexico	Latin America		53.2	25.75	4.3	10.2	0.2	3.9	1.7	0.7	0.5		2020
Cities 2020	35870	City of Miami	United States of America	North America	2.1	72.3	0.3	22.3	0	0	0	0	1.5	1.5	100	2018
Cities 2020	35872	Municipality of Recife	Brazil	Latin America	2.8	30.2	4.1	2.6	51.2	0.9	5.1	0	0	3.1	100	2019
Cities 2020	35873	Municipality of Medellín	Colombia	Latin America	8.2	9.4	11.3		66.3		0.1			4.8		
Cities 2020	35874	City of Phoenix	United States of America	North America	26.7	41.1	0	18.8	3.4	0.4	1.8	3.4	4.4	0	100	
Cities 2020	35877	City of Pittsburgh	United States of America	North America	22	8.3		69.4	0.3							
Cities 2020	35878	City of Sacramento	United States of America	North America	0	41	0	0	14	12	7	1	3	23	101	
Cities 2020	35879	City of Minneapolis	United States of America	North America	23	23	0	28	6	2	15	0	3	0	100	2019
Cities 2020	35880	Municipality of Porto Alegre	Brazil	Latin America	0.02	0.083	0.051	0.011	0.604	0.084	0.087		0.016	0.045		2020
Cities 2020	35883	City of San José	United States of America	North America	0	0	0	0	36	5	10	2	30	17	100	2019
Cities 2020	35884	City of San Diego	United States of America	North America		29				2	21		20	28		2018
Cities 2020	35885	Tel Aviv-Yafo Municipality	Israel	Middle East	25	70					0.7		4.3			2019
Cities 2020	35886	Comune di Torino	Italy	Europe	10	45	1	4	17	7	6	2	8	0	100	2018
Cities 2020	35893	City of Dar es Salaam	United Republic of Tanzania	Africa	0.25	5	8	0	1.5	85	0	0	0.25	0	100	2020
Cities 2020	35894	Ville de Montreal	Canada	North America	0	0.03	0	0.36	93.34	0.88	5.37	0	0	0.02	100	2019
Cities 2020	35897	Municipality of Campinas	Brazil	Latin America	2.4	9.6	1.3	2.6	63.5	8.3	8.9	0	1.1	2.3	100	2019
Cities 2020	35898	Greater Manchester	United Kingdom of Great Britain and Northern Ireland	Europe	35.4	28.2	1	22.3	1.3	4.7	5.3	0.8	1	0	100	
Cities 2020	35903	Le Grand Casablanca	Morocco	Africa	21.7	5	62	0	0.5	6.5	0.6	0.6	0.6	2.5	100	
Cities 2020	35905	Corporation of Chennai	India	South and West Asia	52.5	3.4	0	5.9	4.6	0.6	7.6	0	1.2	24.2	100	
Cities 2020	35907	Bangalore	India	South and West Asia	85				15		5		5			
Cities 2020	35993	Singapore Government	Singapore	Southeast Asia and Oceania	1.08	95.74	0.15	0	0	2.39	0	0	0.57	0.07	100	2020
Cities 2020	36032	Ville de Dakar	Senegal	Africa	75	1								24		2016
Cities 2020	36036	City of Ibadan	Nigeria	Africa	0	15	35	0	40	0	0	5	5			
Cities 2020	36037	Santiago de Cali	Colombia	Latin America					95				5			
Cities 2020	36043	Abuja Federal Capital Territory	Nigeria	Africa	0	15	0	0	70	9	2	0	4	0	100	2019
Cities 2020	36152	Tallinn City Council	Estonia	Europe	0	20	0	0	0	40	3	0	2	35	100	2019
Cities 2020	36158	Comune di Napoli	Italy	Europe	0	22	16	0	0	0	0	0	1	61	100	
Cities 2020	36159	City of Lisbon	Portugal	Europe	26	33	0	0	10	5	23	0	2	1	100	
Cities 2020	36223	Antananarivo	Madagascar	Africa			80	0	20	0	0	0	0			2019
Cities 2020	36254	Comune di Venezia	Italy	Europe	12	44	1	0	15	7	6	2	8	5	100	
Cities 2020	36262	Comune di Genova	Italy	Europe		4.228471							8.5			2019
Cities 2020	36274	Comune di Bologna	Italy	Europe	0	74	0	0	4.16	12.27	0.16	0	9.41	0	100	2017
Cities 2020	36286	Comune di Ferrara	Italy	Europe	23.7	33.1	1	4.2	20	5	0	1	8	0	96	
Cities 2020	36410	City of Memphis	United States of America	North America	24	20	0	37	9	0	1	0	2	7	100	2016
Cities 2020	36426	Riga City	Latvia	Europe	0	98.04	0	0	0	1.62	0	0	0	0.34	100	2019
Cities 2020	36470	Comune della Spezia	Italy	Europe		43.38										
Cities 2020	36492	Comune di Parma	Italy	Europe				0	0	0						
Cities 2020	36494	Comune di Padova	Italy	Europe	11	48.3	3.9	0	12.8	6.6	6	2.1	8.2	1.1	100	2017
Cities 2020	36501	Comune di Prato	Italy	Europe	12.47	39.06	0.54	4.11	17.53	6.83	6.22	2.17	8.08	2.99	100	2018
Cities 2020	37241	City of Berkeley	United States of America	North America	0	6	0	13	12	2	27	2	28	10	100	2018
Cities 2020	42120	City of Salvador	Brazil	Latin America	5	6	7		54	3	13		12			2018
Cities 2020	42123	City of Goiânia	Brazil	Latin America	0	0	8	0	90	0	0	0	0	2	100	
Cities 2020	42178	Distrito Metropolitano de Quito	Ecuador	Latin America	0		9.9	0	90	0.1	0	0	0	0		2019
Cities 2020	42384	Göteborgs Stad	Sweden	Europe	0.23	0.55	0.19	40.94	38.94	3.13	9.94	0	0.24	5.84	100	2018
Cities 2020	42388	Intendencia de Montevideo	Uruguay	Latin America	0	0	0	0	58.84	26.97	13.33	0	0.85			2018
Cities 2020	43905	City of San Antonio	United States of America	North America	22.4	32.9	0	29.8	0	0	7.5	0	7.4			2019
Cities 2020	43907	City of Indianapolis	United States of America	North America	43	45	2	0	0	0	8	0	2	0	100	2019
Cities 2020	43908	City of Milwaukee	United States of America	North America	56	7	6.84	12	12	2.4	3.2	0	0.56			
Cities 2020	43909	City of Orlando	United States of America	North America	50	41	0	7	0	0	0	0	2	0	100	
Cities 2020	43910	City of Columbus	United States of America	North America	49.8	16.7	0.4	27.6	0.9	0.6	3.2	0	0.1	0.7	100	2017
Cities 2020	43912	City of Edmonton	Canada	North America	35	46	0	0	5	0	11	0	0	3	100	2019
Cities 2020	43914	City of Charlotte	United States of America	North America	31.3	12.7	0.1	54.5	1.4	0	0	0	0	0	100	2019
Cities 2020	43917	Sofia Municipality	Bulgaria	Europe	68.37	0.43	0	16.27	9.72	0.82	1.43	0	2.67	0.29	100	2019
Cities 2020	43920	City of Ljubljana	Slovenia	Europe	47	12	0	38	0.9	0.16	0.32	0.4	0.22	1	100	
Cities 2020	43926	City of Mannheim	Germany	Europe	9	44	33	3	1	2	4	0	2	0	98	2020
Cities 2020	43928	Canberra	Australia	Southeast Asia and Oceania	0	0	0	0	4	0	71	0	25	0	100	2020
Cities 2020	43930	The Hague	Netherlands	Europe	35	63		0.13		0.43	0.48		0.96			
Cities 2020	43932	Auckland Council	New Zealand	Southeast Asia and Oceania	3.4	12.5	0	0	60.5	0.6	4.8	17.2	0.2	0.8	100	2018
Cities 2020	43934	City of Perth	Australia	Southeast Asia and Oceania	26.8	60.2	5.3	0	0.5	0.3	3.9	0	3	0	100	2018
Cities 2020	43937	Wellington City Council	New Zealand	Southeast Asia and Oceania	4	10			61	2	6	17				2019
Cities 2020	43938	"The Executive Council, Govt of Dubai"	United Arab Emirates	Middle East	0	93.8	0	0	0	0	0	0	6.2	0	100	2019
Cities 2020	43940	Malmö Stad	Sweden	Europe	0.41	23.04	0.14	21.7	22.12	9.57	18.61	0	0.01	4.4	100	
Cities 2020	43975	Municipalidad de Magdalena del Mar	Peru	Latin America		50			30		10		5			
Cities 2020	44077	Kampala City	Uganda	Africa			47		17	36						
Cities 2020	44081	Lusaka City Council	Zambia	Africa	10	3.5	0	0	80.8	2.7	0	0	3	0	100	2019
Cities 2020	44185	Suwon City	Republic of Korea	East Asia	45.4	16.9		30.3	0.44	0.99	0.29		0.94	4.74		2017
Cities 2020	44191	Ansan City	Republic of Korea	East Asia	0	0	0	0	0	0	0	0	0	0	0	
Cities 2020	44205	Gwangmyeong City	Republic of Korea	East Asia		95							5			2020
Cities 2020	44299	Dangjin City	Republic of Korea	East Asia	80	15	0	0	0	0	0	0	0	5	100	2017
Cities 2020	46470	Ayuntamiento de Vitoria-Gasteiz	Spain	Europe	4.3	30.3	1.2	22.6	10	3	21.5	0	5.7	1.4	100	2019
Cities 2020	46514	City of Porto	Portugal	Europe	24.68	31.79	2.15	0	12.84	5.42	20.61	0.36	1.67	0.48	100	2017
Cities 2020	49172	City of St. Petersburg	United States of America	North America	33	42	0	18	5				2			
Cities 2020	49327	City of Providence	United States of America	North America	6.8	35.1	4.5	22.6	2.6	0.1	6.8	0	2.7	18.8	100	2019
Cities 2020	49330	Kansas City	United States of America	North America	40	26	0	7	0	0	21	0	6	0	100	2020
Cities 2020	49333	"City of Louisville, KY"	United States of America	North America	60	37	0	0	3	0	0	0	0	0	100	
Cities 2020	49334	"City of Richmond, VA"	United States of America	North America	9.3	52.6	1	30.9	0.5	4.9	0	0	0.8	0	100	2018
Cities 2020	49335	Metropolitan Government of Nashville and Davidson County	United States of America	North America	24	20	0	37	9	0	1.5	0	1.5	7	100	2019
Cities 2020	49339	City and County of Honolulu	United States of America	North America	18.6	0	64	0	0	0	2.6	0	8.9	5.9	100	2017
Cities 2020	49342	City of Rochester	United States of America	North America	1	8	2	41	40		7			3		2019
Cities 2020	49345	City of Birmingham	United States of America	North America	100											2020
Cities 2020	49347	City of Omaha	United States of America	North America	65.96	3.12	0.03	27.42	3.47	0	0	0	0	0	100	
Cities 2020	49362	Ulaanbaatar City	Mongolia	East Asia	100	0	0	0	0	0	0	0	0	0	100	2020
Cities 2020	49367	Freetown City	Sierra Leone	Africa			42		58							2018
Cities 2020	50154	City of Turku	Finland	Europe	21	3.8	0.2	16.7	28.1	12.6	2.7	0	0	14.9	100	2015
Cities 2020	50203	Gaziantep Metropolitan Municipality	Turkey	Europe	30	56	0	0	0	0	0	0	0	14	100	
Cities 2020	50220	Métropole Nice Côte d'Azur	France	Europe	1.4	6.6	0.6	72.3	12	1.6	3.9		1.6			2016
Cities 2020	50356	Ayuntamiento de Morelia	Mexico	Latin America		1	30						10			
Cities 2020	50358	Gobierno Municipal de Toluca de Lerdo	Mexico	Latin America					100							2010
Cities 2020	50359	Gobierno Municipal de León de los Aldamas	Mexico	Latin America	1.22	84.93	4.63	0	0	6.35	0	0	2.87	0	100	2018
Cities 2020	50361	Ayuntamiento de Hermosillo	Mexico	Latin America	0	59	0	0	0	1	0	0	40	0	100	2019
Cities 2020	50364	Municipalidad de La Paz	Bolivia (Plurinational State of)	Latin America		68.15	1.5		28	1	0.1					2013
Cities 2020	50370	Municipalidad de Tampico	Mexico	Latin America	6	5	68	4	12	0	1	3	1	0	100	2015
Cities 2020	50375	Ayuntamiento de Chihuahua	Mexico	Latin America				0				0				
Cities 2020	50378	Municipalidad de San José	Costa Rica	Latin America	0	0	0.85	0	69.18	0.64	15.88	13.37	0.08	0	100	2019
Cities 2020	50380	Municipio de Bucaramanga	Colombia	Latin America	7	12	10	0	70	0	0	0	0			
Cities 2020	50381	Municipio de Torreón	Mexico	Latin America	0	0	70	0	15	0	0	0	15	0	100	2020
Cities 2020	50383	Prefeitura de Sorocaba	Brazil	Latin America	4.1	10.5	2.5	2.5	65.3	8.2	6.8	0	0.1	0	100	2017
Cities 2020	50389	Prefeitura de Maceió	Brazil	Latin America		10			90							2020
Cities 2020	50394	Prefeitura Municipal de João Pessoa	Brazil	Latin America	2.2147	7.7441	5.8967	1.1855	60.8352	8.6988	7.6921	0	0.7783	4.9546	100	
Cities 2020	50398	Ciudad de Juárez	Mexico	Latin America	0	100	0	0	0	0	0	0	0	0	100	2019
Cities 2020	50540	City of Albuquerque	United States of America	North America	28	30	5	15	0	0	13	0.5	8.5	0	100	2019
Cities 2020	50541	City of Greensboro	United States of America	North America	33	10	0	51	3.5	0	0.1	0.1	0.3	2	100	2013
Cities 2020	50543	Halifax Regional Municipality	Canada	North America	57.8	9.9	4.7	0	10.8	4.1	12.7	0	0	0	100	2018
Cities 2020	50544	"City of Aurora, IL"	United States of America	North America	8	56	36	0	0	0	0	0	0	0	100	
Cities 2020	50545	City of Henderson	United States of America	North America	7.53	75.36	0	0.3	2.44	0.34	1.81	6.58	5.62	0.02	100	2019
Cities 2020	50549	City of Fort Worth	United States of America	North America	20	47.3	0	11	0.3	0.2	20	0	1.2	0	100	
Cities 2020	50551	City of Long Beach	United States of America	North America	0	20	0	6	9	0	10	8	13	34	100	
Cities 2020	50555	City of Hamilton	Canada	North America	0	6	0	61	25	0.5	7	0	0.5	0	100	2018
Cities 2020	50558	"City of London, ON"	Canada	North America	0	6.2	0	58.4	23.9	0.5	8	0	2.3			2018
Cities 2020	50559	"City of St Catharines, ON"	Canada	North America	0	3	1	60	26	1	7	0	2	0	100	2018
Cities 2020	50560	City of Oakland	United States of America	North America	0	20	0	27	21	4	8	5	13	2	100	
Cities 2020	50565	City of Toledo	United States of America	North America	59	40	0	0	0	0	0	0	1	0	100	
Cities 2020	50566	City of Anchorage	United States of America	North America	0	86.3	0	0	10.9	0	1.4	0	0	1.4	100	2018
Cities 2020	50568	City of Saskatoon	Canada	North America	31	45	0	0	18	0	5	0	0	1	100	2019
Cities 2020	50571	City of Victoria	Canada	North America	0	2	0	0	96	2	0	0	0	0	100	
Cities 2020	50572	"City of Saint Paul, MN"	United States of America	North America	26	33	0	13	0	4	21	0	3	0	100	2019
Cities 2020	50578	City of Windsor	Canada	North America	0	6	0	61	25	0.5	7	0	0.5	0	100	2019
Cities 2020	50650	City of Gibraltar	Gibraltar	Europe			99.8						0.2			2018
Cities 2020	50665	Município de Ovar	Portugal	Europe	23	19	32		26							
Cities 2020	50671	Município de Fafe	Portugal	Europe	0	0	0	0	2	0	98	0	0	0	100	
Cities 2020	50673	Município de Faro	Portugal	Europe	0	0	0	0	0	0	88	0	11	1	100	
Cities 2020	50674	Município de Viseu	Portugal	Europe	0	0	0	0	14.3	6	22.9	0.4	1.9	0	45.5	2018
Cities 2020	50678	Município de Évora	Portugal	Europe	1.248	5.304	9.56									2019
Cities 2020	50679	Município de Barreiro	Portugal	Europe				0			0	0	0			2019
Cities 2020	50680	Município de Cascais	Portugal	Europe	7	1	10	2	13	2	52	0	6	0	93	
Cities 2020	50792	Ville de Monaco	Monaco	Europe	1.5	2.7	1	86.3	6.6	0	0	0	1.9	0	100	2018
Cities 2020	50794	Prefeitura Municipal de Caieiras	Brazil	Latin America				4	75	19	2					
Cities 2020	51079	Guatemala City	Guatemala	Latin America	24.2	0	3.8		56.6	0	2	2.3	1.5	9.3		2020
Cities 2020	51374	Prefeitura de Rio Branco	Brazil	Latin America			100									
Cities 2020	52638	Prefeitura de Aracaju	Brazil	Latin America					100							2019
Cities 2020	52894	City of Winston-Salem	United States of America	North America	26	34.26	0.04	34.2	1.5	0	2	0	2	0	100	2019
Cities 2020	53254	City of Hobart	Australia	Southeast Asia and Oceania		2			81		10		7	0		2019
Cities 2020	53860	"City of Wilmington, NC"	United States of America	North America	19.1	34.6	0.6	37.8	2.3	2.8	0.4	0	2.2	0.2	100	2019
Cities 2020	53921	"City of Tempe, AZ"	United States of America	North America	40	25	0	25	2		1		5	2		2020
Cities 2020	53959	"City of Fayetteville, AR"	United States of America	North America	30.9	40	1.7	0	2.8	1.4	22.4	0	0.4	0.4	100	2018
Cities 2020	54026	City of Tacoma	United States of America	North America	1.5	1	0	6	84	0	7	0	0	0.5	100	
Cities 2020	54034	City of Grand Rapids	United States of America	North America	32.1	33.5	0.1	20.9	1.5	0.1	8.4		0.1	3.3		2018
Cities 2020	54048	City of Knoxville	United States of America	North America	19	26	0	39	11	0	1.5	0	1.5	2	100	2020
Cities 2020	54070	City of Eugene	United States of America	North America	0	0	0	8.8	87.4	0	0.8	0	0	3	100	
Cities 2020	54075	City of Lakewood	United States of America	North America	33	37	0	0	1	0	25	0	4	0	100	2019
Cities 2020	54078	City of Hayward	United States of America	North America	0	20	0	27	21	4	8	5	13	2	100	2017
Cities 2020	54082	"City of Hollywood, FL"	United States of America	North America	2.1	72.3	0.3	22.3	0	0	0	0	1.5	1.5	100	2019
Cities 2020	54088	City of Peterborough	Canada	North America	0	28	0	35	23	1	12	0	1	0	100	2019
Cities 2020	54092	City of Ann Arbor	United States of America	North America	62.73	6.49	0.21	22.13	0.21	1.05	6.42	0	0.17	0.59	100	2018
Cities 2020	54098	City of Thunder Bay	Canada	North America	0	29	0	34	23	1	12	0	1	0	100	2019
Cities 2020	54100	"City of Columbia, MO"	United States of America	North America	82.99	1.31	0	0	0	0	12.34	0	0.12	3.24	100	2015
Cities 2020	54104	City of Boulder	United States of America	North America	39.1	32.7	0	0	1.4	0	23.5	0	3.3	0	100	2018
Cities 2020	54108	City of Durham	United States of America	North America	26	30	0	32	4	4	0	0	4	0	100	
Cities 2020	54109	City of Bloomington	United States of America	North America	79.2	4.9	0	0	0.6	0	0	0	0.8	14.5	100	
Cities 2020	54110	City of Santa Monica	United States of America	North America	0	0		0	0	0	0	0	100	0		
Cities 2020	54111	City of Iowa City	United States of America	North America	45.3	2.1	0	13	0	0.2	39.4	0	0	0	100	
Cities 2020	54113	City of Flagstaff	United States of America	North America	28	31.4	0	29.8	6.6	0.2	0.5	0	3.4	0.1	100	
Cities 2020	54114	City of Asheville	United States of America	North America	10.5	40.4	0.1	31.6	7.3	0	0	3	7.1			2020
